indicator,country,date,unit,value
PA.NUS.PPP,Japan(JP),2024,,94.462599
PA.NUS.PPP,Japan(JP),2023,,93.831737
PA.NUS.PPP,Japan(JP),2022,,94.922107
PA.NUS.PPP,Japan(JP),2021,,99.211289
PA.NUS.PPP,Japan(JP),2020,,100.742048
PA.NUS.PPP,Japan(JP),2019,,103.231509
PA.NUS.PPP,Japan(JP),2018,,104.158636
PA.NUS.PPP,Japan(JP),2017,,105.101901
PA.NUS.PPP,Japan(JP),2016,,105.519502
PA.NUS.PPP,Japan(JP),2015,,103.469437
PA.NUS.PPP,Japan(JP),2014,,103.052076
PA.NUS.PPP,Japan(JP),2013,,101.302673
PA.NUS.PPP,Japan(JP),2012,,104.273972
PA.NUS.PPP,Japan(JP),2011,,107.454281
PA.NUS.PPP,Japan(JP),2010,,111.707557
PA.NUS.PPP,Japan(JP),2009,,115.232346
PA.NUS.PPP,Japan(JP),2008,,116.845814
PA.NUS.PPP,Japan(JP),2007,,120.321744
PA.NUS.PPP,Japan(JP),2006,,124.459311
PA.NUS.PPP,Japan(JP),2005,,129.551955
PA.NUS.PPP,Japan(JP),2004,,134.397629
PA.NUS.PPP,Japan(JP),2003,,139.581668
PA.NUS.PPP,Japan(JP),2002,,143.774205
PA.NUS.PPP,Japan(JP),2001,,149.639771
PA.NUS.PPP,Japan(JP),2000,,154.687365
PA.NUS.PPP,Japan(JP),1999,,162.03574
PA.NUS.PPP,Japan(JP),1998,,166.393737
PA.NUS.PPP,Japan(JP),1997,,168.308686
PA.NUS.PPP,Japan(JP),1996,,170.351722
PA.NUS.PPP,Japan(JP),1995,,174.247214
PA.NUS.PPP,Japan(JP),1994,,178.836771
PA.NUS.PPP,Japan(JP),1993,,182.314711
PA.NUS.PPP,Japan(JP),1992,,185.65514
PA.NUS.PPP,Japan(JP),1991,,186.75359
PA.NUS.PPP,Japan(JP),1990,,187.619696
