COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE
JPN,XDC_USD,EOP_RT,M,1957-M01,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M02,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M03,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M04,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M05,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M06,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M07,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M08,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M09,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M10,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M11,360.799999998
JPN,XDC_USD,EOP_RT,M,1957-M12,359.659999999
JPN,XDC_USD,EOP_RT,M,1958-M01,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M02,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M03,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M04,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M05,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M06,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M07,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M08,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M09,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M10,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M11,360.799999998
JPN,XDC_USD,EOP_RT,M,1958-M12,359.699999999
JPN,XDC_USD,EOP_RT,M,1959-M01,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M02,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M03,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M04,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M05,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M06,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M07,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M08,360.799999998
JPN,XDC_USD,EOP_RT,M,1959-M09,358.649999999
JPN,XDC_USD,EOP_RT,M,1959-M10,358.199999999
JPN,XDC_USD,EOP_RT,M,1959-M11,358.199999999
JPN,XDC_USD,EOP_RT,M,1959-M12,359.199999999
JPN,XDC_USD,EOP_RT,M,1960-M01,361.769999999
JPN,XDC_USD,EOP_RT,M,1960-M02,361.769999999
JPN,XDC_USD,EOP_RT,M,1960-M03,358.219999998
